id,op,subop,fecha,hora_inicio,hora_fin,id_rrhh,nº_tocholargo,long_inicial,long_tocho_cortado,cant_tochos cortados ,peso_promedio,long_final,Peso del resto del tocho
488,73,2,20200103,162000,164700,000011,500,600,37.8,15,12.204,29.7,9.607
489,73,2,20200106,073200,075700,000011,501,600,37.8,15,12.2,29.9,9.65
490,73,2,20200106,082500,082700,000011,490,48.3,37.8,1,12.204,10.3,3.341
491,73,2,20200106,082900,083000,000011,489,49,37.8,1,12.238,10.7,3.531
492,73,2,20200106,083500,083700,000011,496,40.7,37.8,1,12.258,2.7,0.86
493,73,2,20200106,084500,092100,000011,502,600,37.8,15,12.168,28.8,9.317
494,74,1,20200107,140700,143200,000011,503,600,44,13,14.212,28.5,9.29
495,74,1,20200107,144200,151200,000011,504,600,44,13,14.129,26.5,8.573
496,74,1,20200107,152300,155400,000011,505,600,44,13,14.276,24.1,7.843
497,74,1,20200107,160700,163000,000011,506,600,44,9,14.246,201.5,NULL
498,75,1,20200109,065100,070400,000011,506,201.5,34.8,5,11.131,27.5,8.87
499,75,1,20200109,071300,075200,000011,507,600,34.8,17,11.131,10.1,33.345
500,75,1,20200109,082700,085800,000011,508,600,34.8,14,11.198,109.9,NULL
501,75,2,20200109,091500,092000,000011,508,109.9,51.6,2,16.733,6.4,1.974
502,75,2,20200109,092500,095000,000011,509,600,51.6,11,16.643,30.5,9.737
503,75,2,20200109,100800,103300,000011,510,600,51.6,11,16.584,31.4,10.114
504,75,2,20200109,104400,110900,000011,511,600,51.6,11,16.666,29.2,9.483
505,75,2,20200109,112800,114200,000011,513,600,51.6,6,16.743,287.2,NULL
506,75,3,20200109,131100,132200,000011,513,287.5,49.5,5,16.009,38.9,12.611
507,75,3,20200109,135500,140400,000011,514,600,49.5,12,15.974,2.7,0.817
508,75,3,20200109,142000,144800,000011,515,600,49.5,12,16.019,2.1,0.77
509,75,3,20200109,145700,152500,000011,516,600,49.5,12,16.206,3.2,0.957
510,75,3,20200109,154100,161000,000011,517,600,49.5,12,15.98,1.3,0.32
511,75,3,20200109,161700,162000,000011,459,55.4,49.5,1,15.866,6,2.034
512,75,3,20200109,162300,162500,000011,495,72.7,49.5,1,17.743,21.1,6.862
513,75,4,20200110,073500,075600,000011,118,600,44,13,14.247,25.4,8.316
514,75,4,20200110,084400,091500,000011,119,600,44,13,14.102,25.4,8.16
515,75,4,20200110,94400,101200,000011,120,600,44,13,14.226,23.2,7.549
516,75,4,20200110,102600,105600,000011,121,600,44,13,14.224,24.2,7.813
517,75,4,20200110,112000,113100,000011,122,600,44,5,14.226,338.5,NULL
518,76,1,20200114,135300,140600,000011,522,378.5,55,3,17.721,212.8,NULL
519,76,4,20200115,070700,071900,000011,522,212.8,40.8,5,13.153,7.5,2.478
520,76,4,20200115,073100,080900,000011,523,600,40.8,14,13.155,26,8.52
521,76,4,20200115,083000,090600,000011,524,600,40.8,14,13.175,25.3,8.146
