ID_MOVIMIENTO,FECHA ,HORA ,ID_RESPONSABLE,TIPO_CONTENEDOR_ORIGEN,ID_CONTENEDOR_ORIGEN,TIPO_CONTENEDOR_DESTINO,ID_CONTENEDOR_DESTINO,CODIGO ,LONGITUD,ENVEJECIDO,ACABADO,COLOR,DEFECTUOSO,CANTIDAD,nro_ext,nro_envejecimiento,nro_pint,id_imp_etiq,com,es_fix,ok
54,20200228,NULL,5,NULL,NULL,2,27,PROFILE-0169,6,1,0,0,0,44,NULL,NULL,NULL,NULL,NULL,0,NULL
55,20200317,NULL,12,2,27,NULL,NULL,PROFILE-0169,6,1,0,0,0,40,NULL,NULL,NULL,NULL,NULL,0,NULL
56,20200317,NULL,12,2,27,NULL,NULL,PROFILE-0169,6,1,0,0,0,4,NULL,NULL,NULL,NULL,NULL,0,NULL
57,20200228,NULL,5,NULL,NULL,2,28,PROFILE-0120,5,1,0,0,0,44,NULL,NULL,NULL,NULL,NULL,0,NULL
58,20200304,NULL,11,NULL,NULL,2,28,PROFILE-0113,6,1,0,0,0,37,NULL,NULL,NULL,NULL,NULL,0,NULL
59,20200305,NULL,12,2,28,NULL,NULL,PROFILE-0113,6,1,0,0,0,20,NULL,NULL,NULL,NULL,NULL,0,NULL
60,20200228,NULL,5,NULL,NULL,2,29,PROFILE-0150,6,1,0,0,0,19,NULL,NULL,NULL,NULL,NULL,0,NULL
61,20200311,NULL,12,2,29,NULL,NULL,PROFILE-0150,6,1,0,0,0,7,NULL,NULL,NULL,NULL,NULL,0,NULL
62,20200317,NULL,12,2,29,NULL,NULL,PROFILE-0150,6,1,0,0,0,1,NULL,NULL,NULL,NULL,NULL,0,NULL
63,20200228,NULL,5,NULL,NULL,2,30,PROFILE-0118,6,1,0,0,0,97,NULL,NULL,NULL,NULL,NULL,0,NULL
64,20200228,NULL,5,NULL,NULL,2,31,PROFILE-0093,6,1,0,0,0,165,NULL,NULL,NULL,NULL,NULL,0,NULL
65,20200228,NULL,5,NULL,NULL,2,32,PROFILE-0152,6,1,0,0,0,102,NULL,NULL,NULL,NULL,NULL,0,NULL
66,20200228,NULL,5,NULL,NULL,2,33,PROFILE-0078,6,1,0,0,0,598,NULL,NULL,NULL,NULL,NULL,0,NULL
67,20200520,NULL,12,2,33,NULL,NULL,PROFILE-0078,6,1,0,0,0,39,NULL,NULL,NULL,NULL,NULL,0,NULL
68,20200529,NULL,12,2,33,NULL,NULL,PROFILE-0078,6,1,0,0,0,77,NULL,NULL,NULL,NULL,NULL,0,NULL
69,20200609,NULL,12,2,33,NULL,NULL,PROFILE-0078,6,1,0,0,0,92,NULL,NULL,NULL,NULL,NULL,0,NULL
70,20200228,NULL,5,NULL,NULL,2,34,PROFILE-0153,6,1,0,0,0,130,NULL,NULL,NULL,NULL,NULL,0,NULL
71,20200228,NULL,5,NULL,NULL,2,35,PROFILE-0159,6,1,0,0,0,40,NULL,NULL,NULL,NULL,NULL,0,NULL
72,20200521,NULL,12,2,35,NULL,NULL,PROFILE-0159,6,1,0,0,0,40,NULL,NULL,NULL,NULL,NULL,0,NULL
73,20200228,NULL,5,NULL,NULL,2,36,PROFILE-0187,6,1,0,0,0,27,NULL,NULL,NULL,NULL,NULL,0,NULL
74,20200228,NULL,5,NULL,NULL,2,37,PROFILE-0180,6,1,0,0,0,162,NULL,NULL,NULL,NULL,NULL,0,NULL
75,20200228,NULL,12,2,37,NULL,NULL,PROFILE-0180,6,1,0,0,0,50,NULL,NULL,NULL,NULL,NULL,0,NULL
76,20200228,NULL,5,NULL,NULL,2,38,PROFILE-0124,6,1,0,0,0,40,NULL,NULL,NULL,NULL,NULL,0,NULL
77,20200228,NULL,5,NULL,NULL,2,39,PROFILE-0163,6,1,0,0,0,25,NULL,NULL,NULL,NULL,NULL,0,NULL
78,20200311,NULL,12,2,37,NULL,NULL,PROFILE-0163,6,1,0,0,0,3,NULL,NULL,NULL,NULL,NULL,0,NULL
79,20200228,NULL,5,NULL,NULL,2,40,PROFILE-0127,6,1,0,0,0,30,NULL,NULL,NULL,NULL,NULL,0,NULL
80,20200203,NULL,15,1,8,2,40,PROFILE-0184,6,1,0,0,0,65,NULL,NULL,NULL,NULL,NULL,0,NULL
81,20200521,NULL,15,2,40,NULL,NULL,PROFILE-0184,6,1,0,0,0,30,NULL,NULL,NULL,NULL,NULL,0,NULL
82,20200228,NULL,5,NULL,NULL,2,41,PROFILE-0125,6,1,0,0,0,69,NULL,NULL,NULL,NULL,NULL,0,NULL
83,20200228,NULL,12,2,41,NULL,NULL,PROFILE-0125,6,1,0,0,0,34,NULL,NULL,NULL,NULL,NULL,0,NULL
84,20200228,NULL,5,2,41,NULL,NULL,PROFILE-0125,6,1,0,0,0,34,NULL,NULL,NULL,NULL,NULL,0,NULL
85,20200311,NULL,12,NULL,NULL,2,41,PROFILE-0185,6,1,0,0,0,6,NULL,NULL,NULL,NULL,NULL,0,NULL
86,20200228,NULL,5,NULL,NULL,2,42,PROFILE-0159,6,1,0,0,0,56,NULL,NULL,NULL,NULL,NULL,0,NULL
87,20200228,NULL,5,NULL,NULL,2,43,PROFILE-0079,6,1,0,0,0,33,NULL,NULL,NULL,NULL,NULL,0,NULL
